epoch,loss,step,outside box penalty
4,1.3112056255340576,4,1.0
9,1.0298078060150146,9,1.0
14,0.28178080916404724,14,1.0
19,-1.0964317321777344,19,1.0
24,-1.909619688987732,24,1.0
29,-1.5921814441680908,29,1.0
34,-2.329528570175171,34,1.0
39,-2.8498992919921875,39,1.0
44,-3.444484233856201,44,1.0
49,-3.846296548843384,49,1.0
54,-4.184399604797363,54,1.0
59,-4.092367172241211,59,1.0
64,-4.238543510437012,64,1.0
69,-3.665219783782959,69,1.0
74,-4.0479888916015625,74,1.0
79,-4.163624286651611,79,1.0
84,-4.216325759887695,84,1.0
89,-4.159419536590576,89,1.0
94,-4.223679542541504,94,1.0
99,-4.365380764007568,99,1.0
