outside box penalty,loss,step,epoch
1.0,1.1994116306304932,4,4
1.0,0.4427972435951233,9,9
1.0,-1.242374062538147,14,14
1.0,-0.8363425135612488,19,19
1.0,-0.9801952838897705,24,24
1.0,-1.1461368799209595,29,29
1.0,-1.3135182857513428,34,34
1.0,-1.4119893312454224,39,39
1.0,-1.4057645797729492,44,44
1.0,-1.470037817955017,49,49
1.0,-1.5229902267456055,54,54
1.0,-1.3531146049499512,59,59
1.0,-1.5098127126693726,64,64
1.0,-1.5074323415756226,69,69
1.0,-1.5387002229690552,74,74
1.0,-1.5544365644454956,79,79
1.0,-1.5930495262145996,84,84
1.0,-1.5095785856246948,89,89
1.0,-1.4808814525604248,94,94
1.0,-1.4590507745742798,99,99
