outside box penalty,loss,step,epoch
1.0,1.3200453519821167,4,4
1.0,1.0030391216278076,9,9
1.0,0.15582548081874847,14,14
1.0,-0.9704524874687195,19,19
1.0,-0.2973707318305969,24,24
1.0,-1.2704253196716309,29,29
1.0,-1.2083730697631836,34,34
1.0,-1.2442004680633545,39,39
1.0,-1.31584632396698,44,44
1.0,-1.316531777381897,49,49
1.0,-1.4499770402908325,54,54
1.0,-1.4641858339309692,59,59
1.0,-1.476270318031311,64,64
1.0,-1.5682507753372192,69,69
1.0,-1.5675004720687866,74,74
1.0,-1.6464425325393677,79,79
1.0,-1.7306981086730957,84,84
1.0,-1.7858988046646118,89,89
1.0,-2.005575656890869,94,94
1.0,-1.9614782333374023,99,99
