outside box penalty,loss,step,epoch
1.0,1.2885816097259521,4,4
1.0,0.8714208006858826,9,9
1.0,-0.3880075216293335,14,14
1.0,-1.4842337369918823,19,19
1.0,-1.269514560699463,24,24
1.0,-1.5660747289657593,29,29
1.0,-0.7371536493301392,34,34
1.0,-1.8905049562454224,39,39
1.0,-2.2958924770355225,44,44
1.0,-2.8896145820617676,49,49
1.0,-3.423325300216675,54,54
1.0,-3.3957643508911133,59,59
1.0,-3.093654155731201,64,64
1.0,-3.478983163833618,69,69
1.0,-3.1269421577453613,74,74
1.0,-3.55119252204895,79,79
1.0,-3.6236000061035156,84,84
1.0,-3.622868299484253,89,89
1.0,-3.652801036834717,94,94
1.0,-3.6626482009887695,99,99
