step,loss,epoch,outside box penalty
4,1.3829516172409058,4,1.0000004768371582
9,1.3723366260528564,9,1.0
14,1.366082787513733,14,1.0
19,1.3591372966766357,19,1.0
24,1.3511346578598022,24,1.0
29,1.3418785333633423,29,1.0000003576278687
34,1.3313367366790771,34,1.0000009536743164
39,1.3181188106536865,39,1.0000019073486328
44,1.30057954788208,44,1.000002384185791
49,1.2813791036605835,49,1.000002384185791
54,1.2624648809432983,54,1.0000029802322388
59,1.265051245689392,59,1.000002384185791
64,1.2558165788650513,64,1.0000019073486328
69,1.2535218000411987,69,1.0000019073486328
74,1.2500449419021606,74,1.000002145767212
79,1.2461825609207153,79,1.000001072883606
84,1.243762493133545,84,1.0000011920928955
89,1.2394353151321411,89,1.0000009536743164
94,1.2376517057418823,94,1.0000004768371582
99,1.2336279153823853,99,1.0000003576278687
