outside box penalty,step,loss,epoch
1.0000300407409668,4,1.9969539642333984,4
1.0000280141830444,9,1.7442171573638916,9
1.0000196695327759,14,1.5663244724273682,14
1.0000113248825073,19,1.392881155014038,19
1.0000090599060059,24,1.3586466312408447,24
1.0000064373016357,29,1.3541970252990723,29
1.0000040531158447,34,1.3215936422348022,34
1.0000052452087402,39,1.3188979625701904,39
1.0000054836273193,44,1.2997058629989624,44
1.000002384185791,49,1.2947921752929688,49
1.0,54,1.2787152528762817,54
1.0,59,1.2702637910842896,59
1.0,64,1.2559640407562256,64
1.0,69,1.2441257238388062,69
1.0,74,1.2309141159057617,74
1.0,79,1.2249400615692139,79
1.0,84,1.2016385793685913,84
1.0,89,1.1983718872070312,89
1.0,94,1.193446159362793,94
1.0,99,1.1859959363937378,99
1.0,104,1.1791592836380005,104
1.0,109,1.1719470024108887,109
1.0,114,1.1626261472702026,114
1.0,119,1.151928424835205,119
1.0,124,1.13773512840271,124
1.0,129,1.1201821565628052,129
1.0,134,1.1045315265655518,134
1.0,139,1.0697762966156006,139
1.0,144,1.1288813352584839,144
1.0,149,1.1060426235198975,149
1.0,154,1.0616141557693481,154
1.0,159,1.020322561264038,159
1.0,164,0.9809647798538208,164
1.0,169,1.0172566175460815,169
1.0,174,1.0343949794769287,174
1.0,179,0.9702649116516113,179
1.0,184,0.884710967540741,184
1.0,189,0.9754675626754761,189
1.0,194,0.9817478656768799,194
1.0,199,1.0204672813415527,199
1.0,204,0.9309135675430298,204
1.0,209,0.8691651225090027,209
1.0,214,0.8459193706512451,214
1.0,219,0.8415669202804565,219
1.0,224,0.8152838945388794,224
1.0,229,0.807988703250885,229
1.0,234,0.8385702967643738,234
1.0,239,0.8127273321151733,239
1.0,244,0.8795250654220581,244
1.0,249,0.8382687568664551,249
1.0,254,0.9383001923561096,254
1.0,259,0.848369300365448,259
1.0,264,0.9347641468048096,264
1.0,269,0.7938130497932434,269
1.0,274,0.9008663296699524,274
1.0,279,0.8193708062171936,279
1.0,284,0.7962908148765564,284
1.0,289,0.7548049688339233,289
1.0,294,0.7765461802482605,294
1.0,299,0.7100644707679749,299
1.0,304,0.7358929514884949,304
1.0,309,0.7806810140609741,309
1.0,314,0.7437824010848999,314
1.0,319,0.677433967590332,319
1.0,324,0.6613530516624451,324
1.0,329,0.7095091342926025,329
1.0,334,0.7588869333267212,334
1.0,339,0.638748824596405,339
1.0,344,0.5517171621322632,344
1.0,349,0.5653372406959534,349
1.0,354,0.6022533774375916,354
1.0,359,0.585774838924408,359
1.0,364,0.6397566795349121,364
1.0,369,0.721606433391571,369
1.000000238418579,374,0.6610837578773499,374
1.0000089406967163,379,0.8807981014251709,379
1.0,384,0.8029471635818481,384
1.0,389,0.7646812200546265,389
1.0000028610229492,394,0.6582988500595093,394
1.0000039339065552,399,0.5380452275276184,399
1.0000001192092896,404,0.6145590543746948,404
1.0,409,0.5332825779914856,409
1.0000005960464478,414,0.5187854766845703,414
1.0,419,0.5518690943717957,419
1.0000003576278687,424,0.6210966110229492,424
1.0,429,0.6676880121231079,429
1.0,434,0.7216811776161194,434
1.0,439,0.52785724401474,439
1.0000014305114746,444,0.6420968174934387,444
1.0000022649765015,449,0.5701882243156433,449
1.000002145767212,454,0.5762840509414673,454
1.0000003576278687,459,0.549781084060669,459
1.0000016689300537,464,0.4265700578689575,464
1.0063962936401367,465,0.4264843761920929,465
