epoch,loss,step,outside box penalty
4,1.3296091556549072,4,1.0
9,1.0605485439300537,9,1.0
14,0.39702004194259644,14,1.0
19,-0.5427945852279663,19,1.0
24,-0.1852334439754486,24,1.0
29,-1.2301450967788696,29,1.0
34,-1.0508615970611572,34,1.0
39,-0.9659898281097412,39,1.0
44,-1.0511622428894043,44,1.0
49,-1.2569526433944702,49,1.0
54,-1.2294732332229614,54,1.0
59,-1.2586053609848022,59,1.0
64,-1.1336618661880493,64,1.0
69,-1.2708817720413208,69,1.0
74,-1.2266753911972046,74,1.0
79,-1.2282339334487915,79,1.0
84,-1.2791613340377808,84,1.0
89,-1.286975383758545,89,1.0
94,-1.2743356227874756,94,1.0
99,-1.2610228061676025,99,1.0
