loss,step,outside box penalty,epoch
1.4038681983947754,4,1.0000033378601074,4
1.3546677827835083,9,1.0000028610229492,9
1.2902973890304565,14,1.0000028610229492,14
1.2528557777404785,19,1.0000033378601074,19
1.2213841676712036,24,1.0000008344650269,24
1.1811316013336182,29,1.0000032186508179,29
1.1455519199371338,34,1.0000035762786865,34
1.1125075817108154,39,1.000007152557373,39
1.0820631980895996,44,1.0000083446502686,44
1.0687775611877441,49,1.0000079870224,49
1.0635080337524414,54,1.000005841255188,54
1.0441405773162842,59,1.000009298324585,59
1.0232549905776978,64,1.0000059604644775,64
