outside box penalty,loss,step,epoch
1.0,1.2668713331222534,4,4
1.0,0.7041195631027222,9,9
1.0,-0.6394737958908081,14,14
1.0,-0.11684451997280121,19,19
1.0,-0.978051483631134,24,24
1.0,-1.1863549947738647,29,29
1.0,-1.1654837131500244,34,34
1.0,-1.2808903455734253,39,39
1.0,-1.3132195472717285,44,44
1.0,-1.299945592880249,49,49
1.0,-1.2356644868850708,54,54
1.0,-1.2706308364868164,59,59
1.0,-1.2914369106292725,64,64
1.0,-1.3517701625823975,69,69
1.0,-1.3658616542816162,74,74
1.0,-1.364037036895752,79,79
1.0,-1.3751921653747559,84,84
1.0,-1.3668938875198364,89,89
1.0,-1.3837313652038574,94,94
1.0,-1.3792442083358765,99,99
