outside box penalty,loss,step,epoch
1.0,1.258177399635315,4,4
1.0,0.8377397060394287,9,9
1.0,-0.06463801860809326,14,14
1.0,-1.042747139930725,19,19
1.0,-1.1766855716705322,24,24
1.0,-1.2097411155700684,29,29
1.0,-1.2420848608016968,34,34
1.0,-1.3327151536941528,39,39
1.0,-1.303288459777832,44,44
1.0,-1.3396919965744019,49,49
1.0,-1.373236894607544,54,54
1.0,-1.3610082864761353,59,59
1.0,-1.387377142906189,64,64
1.0,-1.4047253131866455,69,69
1.0,-1.416458249092102,74,74
1.0,-1.4352930784225464,79,79
1.0,-1.4420676231384277,84,84
1.0,-1.4577890634536743,89,89
1.0,-1.4815727472305298,94,94
1.0,-1.5015137195587158,99,99
