outside box penalty,loss,step,epoch
1.0,1.2585927248001099,4,4
1.0,0.6621785163879395,9,9
1.0,-0.6338978409767151,14,14
1.0,-0.5028438568115234,19,19
1.0,-0.9176740050315857,24,24
1.0,-1.1408048868179321,29,29
1.0,-1.0741238594055176,34,34
1.0,-1.2675646543502808,39,39
1.0,-1.079606056213379,44,44
1.0,-1.2665895223617554,49,49
1.0,-1.3146212100982666,54,54
1.0,-1.2844593524932861,59,59
1.0,-1.2533808946609497,64,64
1.0,-1.3448189496994019,69,69
1.0,-1.3142952919006348,74,74
1.0,-1.2821732759475708,79,79
1.0,-1.3328602313995361,84,84
1.0,-1.325124979019165,89,89
1.0,-1.3228014707565308,94,94
1.0,-1.3833318948745728,99,99
