epoch,loss,step,outside box penalty
4,1.3144561052322388,4,1.0
9,1.0454204082489014,9,1.0
14,0.5058643817901611,14,1.0
19,0.01497675757855177,19,1.0
24,-0.5042062997817993,24,1.0
29,-0.39555469155311584,29,1.0
34,-0.8646734356880188,34,1.0
39,-0.9574729800224304,39,1.0
44,-1.033260464668274,44,1.0
49,-1.1112241744995117,49,1.0
54,-1.2059575319290161,54,1.0
59,-1.4454762935638428,59,1.0
64,-1.7550715208053589,64,1.0
69,-2.188973903656006,69,1.0
74,-2.358339309692383,74,1.0
79,-2.3637771606445312,79,1.0
84,-2.1766109466552734,84,1.0
89,-2.3798828125,89,1.0
94,-2.156564474105835,94,1.0
99,-2.6181223392486572,99,1.0
