epoch,loss,step,outside box penalty
4,1.2607685327529907,4,1.0
9,0.8146555423736572,9,1.0
14,-0.22663787007331848,14,1.0
19,-0.8890390992164612,19,1.0
24,-1.7086926698684692,24,1.0
29,-1.1997352838516235,29,1.0
34,-0.8542363047599792,34,1.0
39,-1.6057226657867432,39,1.0
44,-1.95646333694458,44,1.0
49,-2.4452197551727295,49,1.0
54,-3.152315855026245,54,1.0
59,-3.457653522491455,59,1.0
64,-3.721850872039795,64,1.0
69,-3.7995097637176514,69,1.0
74,-3.841106653213501,74,1.0
79,-3.9849400520324707,79,1.0
84,-3.5710363388061523,84,1.0
89,-3.9285151958465576,89,1.0
94,-3.961057662963867,94,1.0
99,-4.178735733032227,99,1.0
